race_id,date,jcd,venue,race_no,waku,reg_no,player_name,branch,age,grade,motor_no,boat_no,rank,result_time,course,st,payout,weather
202301010606,2023-01-01,06,浜名湖,6,1,4,4,,,,2,,,,,,"勝式 組番 払戻金 人気 3連単 3 - 5 - 2 ¥6,360 31 3連複 2 = 3 = 5 ¥1,000 6 2連単 3 - 5 ¥1,360 6 2連複 3 = 5 ¥600 3 拡連複 3 = 5 ¥210 2 2 = 3 ¥460 10 2 = 5 ¥260 4 単勝 3 ¥490 複勝 3 ¥200 5 ¥120",水面気象情報 気温 11.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010606,2023-01-01,06,浜名湖,6,2,6,6,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 3 - 5 - 2 ¥6,360 31 3連複 2 = 3 = 5 ¥1,000 6 2連単 3 - 5 ¥1,360 6 2連複 3 = 5 ¥600 3 拡連複 3 = 5 ¥210 2 2 = 3 ¥460 10 2 = 5 ¥260 4 単勝 3 ¥490 複勝 3 ¥200 5 ¥120",水面気象情報 気温 11.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010606,2023-01-01,06,浜名湖,6,3,3,3,5,,,,,,,,,"勝式 組番 払戻金 人気 3連単 3 - 5 - 2 ¥6,360 31 3連複 2 = 3 = 5 ¥1,000 6 2連単 3 - 5 ¥1,360 6 2連複 3 = 5 ¥600 3 拡連複 3 = 5 ¥210 2 2 = 3 ¥460 10 2 = 5 ¥260 4 単勝 3 ¥490 複勝 3 ¥200 5 ¥120",水面気象情報 気温 11.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010606,2023-01-01,06,浜名湖,6,4,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 3 - 5 - 2 ¥6,360 31 3連複 2 = 3 = 5 ¥1,000 6 2連単 3 - 5 ¥1,360 6 2連複 3 = 5 ¥600 3 拡連複 3 = 5 ¥210 2 2 = 3 ¥460 10 2 = 5 ¥260 4 単勝 3 ¥490 複勝 3 ¥200 5 ¥120",水面気象情報 気温 11.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010606,2023-01-01,06,浜名湖,6,5,1,1,5,,,3,,,,,,"勝式 組番 払戻金 人気 3連単 3 - 5 - 2 ¥6,360 31 3連複 2 = 3 = 5 ¥1,000 6 2連単 3 - 5 ¥1,360 6 2連複 3 = 5 ¥600 3 拡連複 3 = 5 ¥210 2 2 = 3 ¥460 10 2 = 5 ¥260 4 単勝 3 ¥490 複勝 3 ¥200 5 ¥120",水面気象情報 気温 11.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010606,2023-01-01,06,浜名湖,6,6,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 3 - 5 - 2 ¥6,360 31 3連複 2 = 3 = 5 ¥1,000 6 2連単 3 - 5 ¥1,360 6 2連複 3 = 5 ¥600 3 拡連複 3 = 5 ¥210 2 2 = 3 ¥460 10 2 = 5 ¥260 4 単勝 3 ¥490 複勝 3 ¥200 5 ¥120",水面気象情報 気温 11.0℃ 晴 風速 5m 水温 8.0℃ 波高 3cm スタンド
202301010607,2023-01-01,06,浜名湖,7,1,,,,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 2 - 4 ¥1,900 6 3連複 1 = 2 = 4 ¥230 1 2連単 1 - 2 ¥1,090 5 2連複 1 = 2 ¥560 2 拡連複 1 = 2 ¥200 3 1 = 4 ¥100 1 2 = 4 ¥240 5 単勝 1 ¥130 複勝 1 ¥100 2 ¥140",水面気象情報 気温 11.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010607,2023-01-01,06,浜名湖,7,2,5,5,3,,,,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 2 - 4 ¥1,900 6 3連複 1 = 2 = 4 ¥230 1 2連単 1 - 2 ¥1,090 5 2連複 1 = 2 ¥560 2 拡連複 1 = 2 ¥200 3 1 = 4 ¥100 1 2 = 4 ¥240 5 単勝 1 ¥130 複勝 1 ¥100 2 ¥140",水面気象情報 気温 11.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010607,2023-01-01,06,浜名湖,7,3,6,6,2,,,1,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 2 - 4 ¥1,900 6 3連複 1 = 2 = 4 ¥230 1 2連単 1 - 2 ¥1,090 5 2連複 1 = 2 ¥560 2 拡連複 1 = 2 ¥200 3 1 = 4 ¥100 1 2 = 4 ¥240 5 単勝 1 ¥130 複勝 1 ¥100 2 ¥140",水面気象情報 気温 11.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010607,2023-01-01,06,浜名湖,7,4,5,5,,,,3,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 2 - 4 ¥1,900 6 3連複 1 = 2 = 4 ¥230 1 2連単 1 - 2 ¥1,090 5 2連複 1 = 2 ¥560 2 拡連複 1 = 2 ¥200 3 1 = 4 ¥100 1 2 = 4 ¥240 5 単勝 1 ¥130 複勝 1 ¥100 2 ¥140",水面気象情報 気温 11.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
202301010607,2023-01-01,06,浜名湖,7,5,1,1,,,,4,,,,,,"勝式 組番 払戻金 人気 3連単 1 - 2 - 4 ¥1,900 6 3連複 1 = 2 = 4 ¥230 1 2連単 1 - 2 ¥1,090 5 2連複 1 = 2 ¥560 2 拡連複 1 = 2 ¥200 3 1 = 4 ¥100 1 2 = 4 ¥240 5 単勝 1 ¥130 複勝 1 ¥100 2 ¥140",水面気象情報 気温 11.0℃ 晴 風速 3m 水温 8.0℃ 波高 2cm スタンド
